stat_id;date;value;
RANDOM;04.08.2018;702.0;
RANDOM;05.08.2018;546.0;
RANDOM;06.08.2018;967.0;
RANDOM;07.08.2018;436.0;
RANDOM;08.08.2018;24.0;
RANDOM;09.08.2018;494.0;
RANDOM;10.08.2018;169.0;
RANDOM;11.08.2018;786.0;
RANDOM;12.08.2018;696.0;
RANDOM;13.08.2018;795.0;
RANDOM;14.08.2018;348.0;
RANDOM;15.08.2018;225.0;
RANDOM;16.08.2018;299.0;
RANDOM;17.08.2018;902.0;
RANDOM;18.08.2018;389.0;
RANDOM;19.08.2018;130.0;
RANDOM;20.08.2018;839.0;
RANDOM;21.08.2018;958.0;
RANDOM;22.08.2018;356.0;
RANDOM;23.08.2018;923.0;
RANDOM;24.08.2018;901.0;
RANDOM;25.08.2018;193.0;
RANDOM;26.08.2018;713.0;
RANDOM;27.08.2018;22.0;
RANDOM;28.08.2018;269.0;
RANDOM;29.08.2018;609.0;
RANDOM;30.08.2018;74.0;
RANDOM;31.08.2018;633.0;
RANDOM;01.09.2018;40.0;
RANDOM;02.09.2018;797.0;
RANDOM;03.09.2018;429.0;
RANDOM;04.09.2018;1.0;
RANDOM;05.09.2018;844.0;
RANDOM;06.09.2018;52.0;
RANDOM;07.09.2018;819.0;
RANDOM;08.09.2018;487.0;
RANDOM;09.09.2018;351.0;
RANDOM;10.09.2018;508.0;
RANDOM;11.09.2018;518.0;
RANDOM;12.09.2018;803.0;
RANDOM;13.09.2018;537.0;
RANDOM;14.09.2018;363.0;
RANDOM;15.09.2018;734.0;
RANDOM;16.09.2018;721.0;
RANDOM;17.09.2018;383.0;
RANDOM;18.09.2018;759.0;
RANDOM;19.09.2018;842.0;
RANDOM;20.09.2018;102.0;
RANDOM;21.09.2018;323.0;
RANDOM;22.09.2018;336.0;
RANDOM;23.09.2018;995.0;
RANDOM;24.09.2018;242.0;
RANDOM;25.09.2018;525.0;
RANDOM;26.09.2018;806.0;
RANDOM;27.09.2018;114.0;
RANDOM;28.09.2018;238.0;
RANDOM;29.09.2018;807.0;
RANDOM;30.09.2018;20.0;
RANDOM;01.10.2018;987.0;
RANDOM;02.10.2018;404.0;
RANDOM;03.10.2018;834.0;
RANDOM;04.10.2018;287.0;
RANDOM;05.10.2018;281.0;
RANDOM;06.10.2018;866.0;
RANDOM;07.10.2018;752.0;
RANDOM;08.10.2018;358.0;
RANDOM;09.10.2018;578.0;
RANDOM;10.10.2018;115.0;
RANDOM;11.10.2018;246.0;
RANDOM;12.10.2018;495.0;
RANDOM;13.10.2018;819.0;
RANDOM;14.10.2018;492.0;
RANDOM;15.10.2018;91.0;
RANDOM;16.10.2018;407.0;
RANDOM;17.10.2018;979.0;
RANDOM;18.10.2018;545.0;
RANDOM;19.10.2018;203.0;
RANDOM;20.10.2018;578.0;
RANDOM;21.10.2018;577.0;
RANDOM;22.10.2018;521.0;
RANDOM;23.10.2018;697.0;
RANDOM;24.10.2018;856.0;
RANDOM;25.10.2018;845.0;
RANDOM;26.10.2018;94.0;
RANDOM;27.10.2018;201.0;
RANDOM;28.10.2018;835.0;
RANDOM;29.10.2018;814.0;
RANDOM;30.10.2018;90.0;
RANDOM;31.10.2018;823.0;
RANDOM;01.11.2018;198.0;
RANDOM;02.11.2018;981.0;
RANDOM;03.11.2018;685.0;
RANDOM;04.11.2018;628.0;
RANDOM;05.11.2018;936.0;
RANDOM;06.11.2018;37.0;
RANDOM;07.11.2018;366.0;
RANDOM;08.11.2018;696.0;
RANDOM;09.11.2018;472.0;
RANDOM;10.11.2018;206.0;
RANDOM;11.11.2018;233.0;
RANDOM;12.11.2018;11.0;
RANDOM;13.11.2018;414.0;
RANDOM;14.11.2018;321.0;
RANDOM;15.11.2018;715.0;
RANDOM;16.11.2018;584.0;
RANDOM;17.11.2018;846.0;
RANDOM;18.11.2018;904.0;
RANDOM;19.11.2018;61.0;
RANDOM;20.11.2018;846.0;
RANDOM;21.11.2018;629.0;
RANDOM;22.11.2018;940.0;
RANDOM;23.11.2018;212.0;
RANDOM;24.11.2018;183.0;
RANDOM;25.11.2018;519.0;
RANDOM;26.11.2018;434.0;
RANDOM;27.11.2018;824.0;
RANDOM;28.11.2018;513.0;
RANDOM;29.11.2018;69.0;
RANDOM;30.11.2018;397.0;
RANDOM;01.12.2018;959.0;
